X,Y,address,parcel_id,demolition_date,council_district,neighborhood,emergency_demo,street_number,street_direction,street_name,street_type,block_range,property_longitude,property_latitude,ObjectId
-83.135074,42.289417,166 S Gates,20005969,2014,6,Carbon Works,No,166,S,GATES,St,100-299 Gates St,-83.135074,42.289417,4407
-83.127468,42.299296,8777 Olivet,20002076,2014,6,Springwells,No,8777,,OLIVET,St,8700-9099 Olivet St,-83.127468,42.299296,6220
-83.131536,42.328355,7180 St John,18002253,2014,6,Claytown,Yes,7180,,ST JOHN,St,7147-7299 Saint John St,-83.131536,42.328355,9489
-83.20811,42.373331,11656 Woodmont,22062588,2014,7,Plymouth-I96,Yes,11656,,WOODMONT,Ave,11600-11999 Woodmont Ave,-83.20811,42.373331,12565
-83.129343,42.302313,8769 Homer,20002749,2014,6,Springwells,No,8769,,HOMER,St,8700-9099 Homer St,-83.129343,42.302313,14111
-83.134749,42.307114,2001 Sharon,20008297,2014,6,Springwells,No,2001,,SHARON,St,1900-2299 Sharon St,-83.134749,42.307114,14134
-83.126771,42.29956,8735 Olivet,20002069,2014,6,Springwells,No,8735,,OLIVET,St,8700-9099 Olivet St,-83.126771,42.29956,16264
-83.130914,42.328852,4328 Ewers,18011618,2014,6,Claytown,Yes,4328,,EWERS,St,4300-4511 Ewers St,-83.130914,42.328852,21051
-83.165935,42.378218,10610 Foley,18006716,2014,7,Grand River-I96,No,10610,,FOLEY,St,10600-10799 Foley St,-83.165935,42.378218,22064
-83.172904,42.378042,12238 Ward,22024683,2014,7,Pride Area Community,No,12238,,WARD,St,12200-12399 Ward St,-83.172904,42.378042,8075
-83.121676,42.38276,3042 Elmhurst,12003643,2014,5,Dexter-Linwood,No,3042,,ELMHURST,St,2900-3199 Elmhurst St,-83.121676,42.38276,10904
-83.126664,42.297965,8781 Fulton,20001793,2014,6,Springwells,No,8781,,FULTON,St,8700-9099 Fulton St,-83.126664,42.297965,920
-83.129733,42.299277,9105 W Lafayette,20002225,2014,6,Springwells,No,9105,W,LAFAYETTE,Blvd,9100-9299 W Lafayette Blvd,-83.129733,42.299277,1234
-83.163025,42.370945,10359 Elmira,18006389,2014,7,Barton-McFarland,No,10359,,ELMIRA,St,10300-10499 Elmira St,-83.163025,42.370945,11418
-83.129724,42.298081,9144 Witt,20001958,2014,6,Springwells,No,9144,,WITT,St,9100-9166 Witt St,-83.129724,42.298081,13836
-83.083747,42.376327,718 W Philadelphia,4002064,2014,5,Piety Hill,No,718,W,PHILADELPHIA,St,600-799 W Philadelphia St,-83.083747,42.376327,1972
-83.125147,42.379842,3735 Tuxedo,14003988,2014,7,Nardin Park,No,3735,,TUXEDO,St,3700-3999 Tuxedo St,-83.125147,42.379842,23211
-83.108029,42.387798,1926 Elmhurst,8003591,2014,5,Dexter-Linwood,Yes,1926,,ELMHURST,St,1900-2099 Elmhurst St,-83.108029,42.387798,6845
-83.141598,42.332983,5147 Springwells,20005392,2014,6,Claytown,Yes,5147,,SPRINGWELLS,St,5050-5398 Springwells St,-83.141598,42.332983,7397
-83.125084,42.328217,4006 Martin,18010959,2014,6,Michigan-Martin,Yes,4006,,MARTIN,St,3900-4013 Martin St,-83.125084,42.328217,9504
-82.984418,42.416257,12734 Jane,21011756,2014,4,Eden Gardens,Yes,12734,,JANE,St,12700-12999 Jane St,-82.984418,42.416257,10506
-83.125515,42.358614,5105 Spokane,16003048,2014,6,Midwest,No,5105,,SPOKANE,St,5000-5199 Spokane St,-83.125515,42.358614,11433
-83.125261,42.358712,5087 Spokane,16003046,2014,6,Midwest,No,5087,,SPOKANE,St,5000-5199 Spokane St,-83.125261,42.358712,11598
-83.137534,42.327413,4403 Springwells,20005452,2014,6,Claytown,Yes,4403,,SPRINGWELLS,St,4400-4699 Springwells St,-83.137534,42.327413,16805
-83.149086,42.33262,5622 Trenton,20010442,2014,6,Claytown,Yes,5622,,TRENTON,St,5600-5749 Trenton St,-83.149086,42.33262,18910
-83.125136,42.32829,4012 Martin,18010960,2014,6,Michigan-Martin,Yes,4012,,MARTIN,St,3900-4013 Martin St,-83.125136,42.32829,22935
-83.109033,42.358165,7362 Dexter,12010361,2014,5,Wildemere Park,No,7362,,DEXTER,Ave,7300-7399 Dexter Ave,-83.109033,42.358165,25171
-83.150269,42.415882,16763 Woodingham,16028827,2014,2,Fitzgerald/Marygrove,Yes,16763,,WOODINGHAM,Dr,16100-17099 Woodingham Dr,-83.150269,42.415882,16490
-83.118677,42.370316,3735 Atkinson,14003456,2014,7,Nardin Park,No,3735,,ATKINSON,St,3700-3799 Atkinson St,-83.118677,42.370316,615
-83.136266,42.327204,4357 Casper,20007008,2014,6,Claytown,Yes,4357,,CASPER,St,4182-4399 Casper St,-83.136266,42.327204,3979
-83.145391,42.34986,7669 Bryden,18013917,2014,6,Midwest,Yes,7669,,BRYDEN,St,7600-7999 Bryden St,-83.145391,42.34986,6821
-83.033275,42.434049,6731 E Seven Mile,15004966,2014,3,Nortown,Yes,6731,E,SEVEN MILE,Rd,6700-6799 E 7 Mile Rd,-83.033275,42.434049,8308
